,value_as_string,0,1,2
1229,ED^UCHED UTC12^12-UTC,ED,UCHED UTC12,12-UTC
1654,ED^UCHED MAJ302^MAJ3-02,ED,UCHED MAJ302,MAJ3-02
1648,ED^UCHED PAEDS03^03-PAEDS,ED,UCHED PAEDS03,03-PAEDS
977,ED^UCHED RESUS05^05-RESUS,ED,UCHED RESUS05,05-RESUS
965,ED^UCHED UTC04^04-UTC,ED,UCHED UTC04,04-UTC
1234,ED^UCHED UTC05^05-UTC,ED,UCHED UTC05,05-UTC
599,ED^UCHED UTCCH04^16-UTC CHAIR,ED,UCHED UTCCH04,16-UTC CHAIR
1611,ED^UCHED MAJ306^MAJ3-06,ED,UCHED MAJ306,MAJ3-06
66,ED^UCHED TAF39^39-TAF,ED,UCHED TAF39,39-TAF
284,ED^UCHED PAEDS09^09-PAEDS,ED,UCHED PAEDS09,09-PAEDS
413,ED^UCHED RAT04^RAT-04,ED,UCHED RAT04,RAT-04
38,ED^UCHED RAT03^RAT-03,ED,UCHED RAT03,RAT-03
140,ED^UCHED MAJORS03^03-MAJORS,ED,UCHED MAJORS03,03-MAJORS
450,ED^UCHED TAF38^38-TAF,ED,UCHED TAF38,38-TAF
243,ED^UCHED DIAGNOSTICS^NONE,ED,UCHED DIAGNOSTICS,NONE
1064,ED^UCHED UTCCH02^14-UTC CHAIR,ED,UCHED UTCCH02,14-UTC CHAIR
1058,ED^UCHED UTC TR^PLASTER ROOM,ED,UCHED UTC TR,PLASTER ROOM
1137,ED^UCHED PAEDS01^01-PAEDS,ED,UCHED PAEDS01,01-PAEDS
1042,ED^UCHED MAJ311^MAJ3-11,ED,UCHED MAJ311,MAJ3-11
1036,ED^UCHED MAJORS12^12-MAJORS,ED,UCHED MAJORS12,12-MAJORS
10,ED^UCHED UTC01^01-UTC,ED,UCHED UTC01,01-UTC
475,ED^UCHED MAJ305^MAJ3-05,ED,UCHED MAJ305,MAJ3-05
1034,ED^UCHED RAT08^RAT-CHAIR-08,ED,UCHED RAT08,RAT-CHAIR-08
1787,ED^UCHED PAEDS07^07-PAEDS,ED,UCHED PAEDS07,07-PAEDS
1761,ED^UCHED UTC11^11-UTC,ED,UCHED UTC11,11-UTC
1168,ED^UCHED UTCCH03^15-UTC CHAIR,ED,UCHED UTCCH03,15-UTC CHAIR
29,ED^UCHED MAJORS19^19-MAJORS,ED,UCHED MAJORS19,19-MAJORS
507,ED^UCHED MAJ308^MAJ3-08,ED,UCHED MAJ308,MAJ3-08
30,ED^UCHED UTC02^02-UTC,ED,UCHED UTC02,02-UTC
1722,ED^UCHED MAJORS17^17-MAJORS,ED,UCHED MAJORS17,17-MAJORS
215,ED^UCHED RAT01^RAT-01,ED,UCHED RAT01,RAT-01
1186,ED^UCHED RESUS03^03-RESUS,ED,UCHED RESUS03,03-RESUS
1190,ED^UCHED PAEDS02^02-PAEDS,ED,UCHED PAEDS02,02-PAEDS
274,ED^UCHED MAJORS16^16-MAJORS,ED,UCHED MAJORS16,16-MAJORS
537,ED^UCHED UTCCH08^20-UTC CHAIR,ED,UCHED UTCCH08,20-UTC CHAIR
606,ED^UCHED MAJORS05^05-MAJORS,ED,UCHED MAJORS05,05-MAJORS
67,ED^UCHED MAJ310^MAJ3-10,ED,UCHED MAJ310,MAJ3-10
936,ED^UCHED UTCCH07^19-UTC CHAIR,ED,UCHED UTCCH07,19-UTC CHAIR
945,ED^UCHED PAEDS05^05-PAEDS,ED,UCHED PAEDS05,05-PAEDS
1537,ED^UCHED RAT02^RAT-02,ED,UCHED RAT02,RAT-02
